DATE,RAIN,T.MAX,T.MIN,T.MIN.G,WIND
1965-12-27,-0.3933204714081213,0.00017063451494053836,-0.00034282403508400675,-2.038515238827465,6.38
1965-12-28,-0.2196327721378191,0.00017063451494053836,-0.00034282403508400675,-0.9487691112106014,6.58
1965-12-29,-0.12038265826907497,0.00017063451494053836,-0.00034282403508400675,-1.0226502046083548,12.5
1965-12-30,-0.04594507286751686,0.00017063451494053836,-0.00034282403508400675,-0.4870122774746421,17.41
1965-12-31,1.1202437650902268,0.00017063451494053836,-0.00034282403508400675,-0.0991365371364363,9.59
1966-01-01,-0.26925782907219115,-0.91098367911893,-0.45791733568684484,-0.13607708383531308,21.79
1966-01-02,-0.3188828860065632,-0.9539626561771312,-0.41238753353244095,-0.39466091072745024,17.46
1966-01-03,-0.2444453006050051,-1.3192839611718434,-1.18639417015731,-0.837947471113971,7.83
1966-01-04,0.7976808950168082,-0.11587260354220315,-1.664457092778553,-1.225823211452177,15.46
1966-01-05,0.22699274027152946,-0.11587260354220315,-0.07091401737441043,0.8059068569860437,12.83
1966-01-06,-0.07075760133470287,-0.09438311501310251,0.33885420201522637,0.21485810980401593,10.96
1966-01-07,-0.4677580568096794,-0.26629902324590843,0.5665032127872467,1.0275501371793043,10.5
1966-01-08,-0.4677580568096794,-0.48119390853691557,0.13397009232040796,0.62120412349166,12.5
1966-01-09,0.1029300979355993,-0.8465152135316276,-0.025384215220006317,0.011685102960193844,13.37
1966-01-10,6.430124857068038,-1.276304984113642,-0.41238753353244095,0.21485810980401593,19.21
1966-01-11,-0.4677580568096794,-1.5771578235210522,-1.0725696647713,-0.7455961043667793,19.55
1966-01-12,-0.4677580568096794,-1.9209896399866635,-1.0725696647713,-0.19148790388362819,16.46
1966-01-13,-0.4677580568096794,-2.028437082632167,-0.8221557529220775,-0.3207798173296968,12.29
1966-01-14,-0.4677580568096794,-2.0714160596903683,-0.8676855550764815,-0.8933582911622862,10.83
1966-01-15,-0.4677580568096794,-2.4367373646850807,-1.914871004627775,-1.4105259449465606,6.29
1966-01-16,0.40068043954183175,-2.4582268532141813,-1.914871004627775,-0.7086555576679026,4.71
1966-01-17,-0.021132544400330806,-2.0714160596903683,-1.7099868949329566,-1.2627637581510536,2.79
1966-01-18,-0.4677580568096794,-2.1573740138067716,-1.4595729830837345,-0.579363644221834,8.5
1966-01-19,-0.4677580568096794,-2.200352990864973,-1.5961623895469466,-0.8194771977645328,14.33
1966-01-20,-0.4677580568096794,-2.2218424793940734,-1.5506325873925426,-0.5054825508240804,12.33
1966-01-21,-0.4677580568096794,-1.8780106629284623,-1.18639417015731,-0.5054825508240804,4.75
1966-01-22,-0.3933204714081213,-1.7705632202829586,-1.0725696647713,-0.5054825508240804,8.54
1966-01-23,-0.34369541447374924,-1.5771578235210522,-0.7083312475360674,-0.5054825508240804,1.13
1966-01-24,2.757870643924505,-1.426731403817347,-0.8221557529220775,-0.5054825508240804,8.08
1966-01-25,2.9811834001291793,-1.0828995873517355,-0.2757981270692286,0.2887392032017694,20.46
1966-01-26,1.368369049762087,-0.9969416332353329,-0.11644381952881433,0.5657933034433449,19.08
1966-01-27,2.4601203023182725,-0.22332004618770673,0.08844029016600385,0.7320257635882903,12.25
1966-01-28,-0.4181329998753074,-0.008425160896699566,0.0656753890888019,0.5842635767927834,17.46
1966-01-29,-0.2196327721378191,-0.07289362648400187,0.6803277181732569,1.0829609572276193,16.79
1966-01-30,-0.4677580568096794,-0.48119390853691557,0.13397009232040796,0.17791756310513923,14.33
1966-01-31,-0.44294552834249334,-0.8894941905898293,-1.6189272906241488,-1.1150015713555466,3.79
1966-02-01,0.22699274027152946,-0.5886413511824192,-0.32132792922363274,-0.39466091072745024,13.75
1966-02-02,-0.4677580568096794,-0.37374646589141197,-0.07091401737441043,0.2517986565028926,13.54
1966-02-03,0.59918066727932,0.09902228174880402,0.0656753890888019,-0.431601457426327,10.96
1966-02-04,-0.2196327721378191,0.013064327632401077,0.6803277181732569,1.1014312305770575,10.96
1966-02-05,0.2518052687387155,-0.287788511775009,0.5437383117100447,0.6396743968410985,19.33
1966-02-06,-0.4181329998753074,0.14200125880700531,0.08844029016600385,-0.20995817723306653,10.63
1966-02-07,1.7157444483026916,-0.8035362364734263,-0.07091401737441043,0.08556619635794739,8.04
1966-02-08,0.7480558380824363,-0.9539626561771312,0.0656753890888019,0.6027338501422217,4.58
1966-02-09,-0.07075760133470287,-1.2977944726427428,-0.34409283030083465,0.21485810980401593,6.13
1966-02-10,-0.4677580568096794,-1.8565211743993613,-0.8221557529220775,0.011685102960193844,13.29
1966-02-11,0.2518052687387155,-1.8780106629284623,-0.9132153572308855,-0.19148790388362819,11.42
1966-02-12,-0.3188828860065632,-1.8350316858702609,-1.049804763694098,0.0006029389505308946,12.67
1966-02-13,-0.4181329998753074,-1.9209896399866635,-1.0725696647713,-0.24689872393194331,11.63
1966-02-14,1.1946813504917848,-1.491199869404649,-1.2091590712345122,-0.6163041909207106,12.42
1966-02-15,3.700746725677574,-1.6416262891083542,-1.3229835766205222,-0.6532447376195873,16.46
1966-02-16,-0.4677580568096794,-1.5771578235210522,-0.9132153572308855,-0.39466091072745024,10.96
1966-02-17,0.6239931957465061,-1.7275842432247575,-1.0270398626168957,-0.634774464270149,13.7
1966-02-18,3.7503717826119463,-1.3622629382300449,-0.9815100604624918,-0.6532447376195873,13.59
1966-02-19,-0.07075760133470287,-0.33076748883321033,-0.6172716432272591,0.03015537630963223,10.04
1966-02-20,-0.12038265826907497,-0.3522569773623114,-0.09367891845161239,0.38109056994896123,11.92
1966-02-21,1.839807090638622,-0.7175782823570234,-0.29856302814643076,-0.6163041909207106,8.71
1966-02-22,1.368369049762087,-0.9539626561771312,-0.1847385227604206,0.418031116647838,13.59
1966-02-23,-0.2940703575393772,-0.5886413511824192,-0.9359802583080877,-0.6163041909207106,17.79
